Combined Port Price Data ($/kg) Greenweight,Year range =  October to September,,,,,,,,,,,,,,
GMU1,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.80,3.84,3.84,3.839983002,4.762306675,4.769091283,4.756728944
GMU10,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.60,3.60,3.60,3.6,3.6,3.6,3.6
GMU2,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.60,3.60,3.60,3.6,3.6,3.6,3.6
GMU3,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.60,3.60,3.60,3.6,3.6,3.6,3.6
GMU7,Grey Mullet,3.09,3.09,3.42,3.63,3.60,3.60,3.60,3.60,3.60,3.60,3.6,3.6,3.6,3.6
GSC1,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSC10,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSC3,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSC5,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSC6A,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.03,0.029793929,0.029793929,0.029793929,0.029793929
GSC6B,Giant spider crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
GSH1,Ghost Shark dark,0.36,0.36,0.22,0.38,0.38,0.58,0.58,0.34,0.43,0.27,0.268314595,0.255959681,0.531948514,0.351595637
GSH10,Ghost Shark dark,0.36,0.36,0.49,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
GSH2,Ghost Shark dark,0.36,0.36,0.65,0.47,0.47,0.48,0.48,0.40,0.38,0.45,0.399913557,0.267277209,0.447618702,0.571458175
GSH3,Ghost Shark dark,0.36,0.36,0.46,0.48,0.48,0.44,0.44,0.40,0.42,0.39,0.331674749,0.367526139,0.460480379,0.474914692
GSH4,Ghost Shark dark,0.36,0.36,0.46,0.25,0.25,0.25,0.25,0.29,0.29,0.29,0.326604557,0.324226541,0.516112947,0.458423834
GSH5,Ghost Shark dark,0.36,0.36,0.65,0.44,0.44,0.46,0.47,0.40,0.40,0.40,0.294552339,0.317211402,0.258059885,0.376573199
GSH6,Ghost Shark dark,0.36,0.36,0.38,0.47,0.47,0.47,0.47,0.28,0.28,0.36,0.324617502,0.391024003,0.274785252,0.433215656
GSH7,Ghost Shark dark,0.36,0.36,0.50,0.47,0.47,0.47,0.47,0.45,0.44,0.44,0.427786137,0.432365922,0.449371988,0.454439022
GSH8,Ghost Shark dark,0.36,0.36,0.49,0.50,0.50,0.48,0.47,0.42,0.48,0.46,0.439803035,0.382325028,0.432816011,0.377765468
GSH9,Ghost Shark dark,0.36,0.36,0.49,0.47,0.47,0.47,0.47,0.25,0.25,0.40,0.25082744,0.176297512,0.270115064,0.295344248
GSP1,Ghost Shark pale,0.40,0.40,0.61,0.50,0.50,0.47,0.47,0.38,0.39,0.42,0.410618912,0.379730508,0.442359182,0.360161235
GSP5,Ghost Shark pale,0.40,0.40,0.50,0.50,0.50,0.47,0.47,0.47,0.47,0.42,0.391044411,0.352897833,0.435633674,0.33264914
GSP7,Ghost Shark pale,0.40,0.40,0.56,0.50,0.50,0.40,0.40,0.40,0.29,0.42,0.404288125,0.36665964,0.36665964,0.352152301
GUR1,Gurnard,1.86,1.86,2.48,2.74,2.72,2.61,2.61,1.42,2.32,2.37,2.352334674,2.535563029,2.929703421,2.919421179
GUR10,Gurnard,1.86,1.86,1.97,2.29,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27
GUR2,Gurnard,1.86,1.86,2.60,2.29,2.27,2.96,2.79,1.89,2.69,2.84,3.420240584,3.072233424,3.372322197,3.467257166
GUR3,Gurnard,1.71,1.71,1.65,1.96,1.94,1.94,1.92,1.98,1.81,2.41,2.400140606,2.466904801,2.41550459,2.707508762
GUR7,Gurnard,1.86,1.86,1.64,2.29,2.27,1.98,2.07,1.82,1.73,1.93,2.065308735,2.181186147,2.215587602,2.337313826
GUR8,Gurnard,1.90,1.90,2.03,2.51,2.49,2.65,2.65,2.59,2.59,2.37,2.352334674,2.707343297,2.584157998,2.96884947
HAK1,Hake,1.00,1.00,1.26,1.42,1.41,1.24,1.24,1.24,1.41,1.36,1.813557356,1.798059319,1.473702549,1.537422729
HAK10,Hake,1.00,1.00,1.40,1.19,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
HAK4,Hake,1.00,1.00,2.15,1.23,1.22,1.36,1.36,1.36,1.38,1.23,1.324326983,1.464078498,1.464078498,1.268813814
HAK7,Hake,1.00,1.00,1.23,1.19,1.18,1.12,1.12,1.08,1.14,1.12,1.112065909,1.302297175,1.366919428,1.096184881
HOK1,Hoki,0.60,0.60,0.82,0.81,0.80,0.80,0.80,0.66,0.64,0.67,0.66640386,0.634266292,0.644846435,0.661655834
HOK10,Hoki,0.60,0.60,0.82,0.81,0.80,0.80,0.80,0.80,0.80,0.80,0.8,0.8,0.8,0.8
HOR1,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HOR10,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HOR2,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HOR3,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HOR4,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HOR5,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HOR6,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HOR7,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HOR8,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HOR9,Horse mussel,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
HPB1,Hapuku and Bass,5.41,5.41,5.85,4.53,4.49,6.43,6.43,6.18,6.74,6.66,6.664570967,6.664570967,8.144952512,8.280231614
HPB10,Hapuku and Bass,4.61,4.61,4.39,4.48,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44
HPB2,Hapuku and Bass,4.98,4.98,4.39,4.48,4.44,4.44,4.44,5.57,6.50,4.14,4.139295279,4.139295279,6.82098943,6.743138355
HPB3,Hapuku and Bass,3.07,3.07,3.47,4.75,4.71,3.49,3.58,4.54,4.09,4.93,4.915879953,5.586483454,5.363995096,5.689315617
HPB4,Hapuku and Bass,4.61,4.61,4.39,4.48,4.44,4.44,4.44,4.94,4.94,4.07,4.067003439,4.067003439,6.020512883,4.485791867
HPB5,Hapuku and Bass,4.61,4.61,3.38,3.83,3.80,2.64,2.64,4.94,3.06,3.95,3.952389106,3.824284341,4.205974806,4.819036818
HPB7,Hapuku and Bass,4.61,4.61,3.77,4.25,4.22,3.33,3.33,3.77,4.34,4.36,4.25889531,4.699370868,4.307444241,4.358544865
HPB8,Hapuku and Bass,4.61,4.61,4.69,5.26,5.22,4.48,4.48,4.50,5.20,5.12,4.908841813,5.424611126,6.321020513,5.841753626
JDO1,John Dory,6.43,6.43,6.93,7.05,6.99,7.03,7.03,5.94,5.74,5.64,5.636508411,6.33637903,5.807269163,6.264247044
JDO10,John Dory,6.07,6.07,6.37,6.51,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46
JDO2,John Dory,6.07,6.07,5.72,6.28,6.23,6.68,6.68,6.12,6.42,5.74,5.737257745,6.432431905,6.310776876,6.730483351
JDO3,John Dory,4.81,4.81,6.37,3.87,3.84,3.84,3.84,6.02,6.02,5.94,5.936582558,6.33007513,5.992524355,6.432874815
JDO7,John Dory,6.07,6.07,5.59,5.67,5.63,6.84,6.50,6.22,6.49,6.50,6.50160816,6.275123552,6.114286726,6.515656502
JMA1,Jack Mackerel,0.16,0.16,0.24,0.28,0.28,0.31,0.31,0.30,0.29,0.30,0.309852712,0.31443716,0.223341918,0.193586591
JMA10,Jack Mackerel,0.25,0.25,0.46,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
JMA3,Jack Mackerel,0.17,0.17,0.47,0.44,0.44,0.44,0.44,0.23,0.23,0.23,0.227016018,0.209720518,0.223341918,0.193586591
JMA7,Jack Mackerel,0.16,0.16,0.46,0.44,0.44,0.44,0.44,0.20,0.20,0.20,0.201369016,0.180800592,0.207801511,0.190616376
KAH1,Kahawai,0.23,0.23,0.76,0.78,0.81,0.91,0.91,0.85,0.43,0.33,0.353152598,0.722595931,1.484752214,1.484752214
KAH10,Kahawai,0.30,0.30,0.61,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KAH2,Kahawai,0.23,0.23,0.49,0.71,0.71,0.72,0.72,0.29,0.35,0.28,0.339248511,0.27663587,1.21281302,1.21281302
KAH3,Kahawai,0.20,0.20,0.30,0.27,0.27,0.38,0.38,0.26,0.36,0.32,0.36450344,0.554510172,1.21281302,1.21281302
KAH4,Kahawai,0.43,0.43,0.61,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KAH8,Kahawai,0.43,0.43,0.73,0.79,0.71,0.62,0.62,0.49,0.51,0.36,0.335601503,0.639051322,0.855701657,0.530031763
KBB3G,Bladder Kelp, , , ,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
KBB4G,Bladder Kelp, , , ,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
KIC1,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
KIC10,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
KIC2,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
KIC3,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
KIC4,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.06
KIC5,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
KIC6,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
KIC7,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
KIC8,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
KIC9,King crab,3.00,3.00,3.62,3.63,3.60,3.60,0.20,0.20,0.20,0.20,0.2,0.2,0.2,0.2
KIN1,Kingfish,5.54,5.54,5.53,5.76,5.71,5.82,6.50,6.35,6.49,3.92,2.351292952,5.194169615,6.128016426,4.345816585
KIN10,Kingfish,5.15,5.15,5.18,5.14,5.10,5.10,5.10,5.10,5.10,5.10,5.1,5.1,5.1,5.1
KIN2,Kingfish,4.79,4.79,4.20,3.84,3.81,3.74,4.29,4.20,4.57,3.82,5.021918077,4.817181664,4.869163284,5.308037573
KIN3,Kingfish,5.15,5.15,5.18,5.14,5.10,2.26,2.27,5.06,3.82,3.62,3.11602683,4.129523899,3.38808265,4.771725623
KIN4,Kingfish,5.15,5.15,5.18,5.14,5.10,5.10,5.10,5.10,5.10,3.01,3.009336443,3.009336443,3.009336443,7
KIN7,Kingfish,5.15,5.15,5.18,2.15,2.13,2.11,2.11,2.78,2.54,1.47,1.481444782,1.815914993,1.964488509,1.990883016
KIN8,Kingfish,5.15,5.15,5.18,5.14,5.10,5.32,5.32,4.15,4.37,1.80,1.587738479,2.930291854,4.295004135,2.248777581
KWH1,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KWH2,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KWH3,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KWH4,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KWH5,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KWH6,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KWH7A,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KWH7B,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KWH8,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KWH9,Knobbed Whelk,0.60,0.60,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
LDO1,Look Down Dory,0.72,0.72,1.39,1.60,1.59,2.05,1.75,2.02,2.02,1.52,1.485777847,1.460422586,1.640907654,1.44985192
LDO10,Look Down Dory,0.70,0.70,1.46,1.51,1.50,1.50,1.50,1.50,1.50,1.50,1.5,1.5,1.5,1.5
LDO3,Look Down Dory,0.70,0.70,1.48,1.48,1.47,1.52,1.52,1.44,1.39,1.58,1.510313731,1.282217085,1.488913525,1.357203313
LEA1,Leather Jacket,0.53,0.53,0.55,0.63,0.63,0.57,0.57,0.86,0.73,0.79,0.790452982,0.841252836,0.761159284,0.803191449
LEA10,Leather Jacket,0.53,0.53,0.74,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
LEA2,Leather Jacket,0.54,0.54,0.82,0.75,0.74,0.74,0.74,0.74,0.67,0.74,0.737372244,0.737372244,0.737372244,0.737372244
LEA3,Leather Jacket,0.49,0.49,0.77,0.67,0.66,0.72,0.76,0.69,0.69,0.60,0.651948362,0.647839258,0.655680207,0.766094909
LEA4,Leather Jacket,0.51,0.51,0.74,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.69
LFE11,Long finned eel,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,2.45,2.44744898,2.44744898,2.44744898,2.44744898
LFE12,Long finned eel,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,4.96,4.96,4.96,4.96,4.96
LFE13,Long finned eel,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,4.96,4.31,,,
LFE14,Long finned eel,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,4.96,4.96,4.96,4.96,4.96
LFE15,Long finned eel,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,4.96,4.96,4.96,4.96,4.96
LFE16,Long finned eel,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,4.50,4.5,4.5,4.5,4.5
LFE17,Longfinned eel,3.88,3.88,4.42,4.46,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96
LFE20,Longfinned eel,3.88,3.88,4.91,4.92,4.96,4.96,4.96,3.95,3.95,2.69,2.69169608,3.72142567,3.72142567,3.72142567
LFE21,Longfinned eel,3.88,3.88,4.90,5.08,4.96,4.96,4.48,3.96,3.96,2.14,2.139466728,3.56407758,4.000625652,4.000625652
LFE22,Longfinned eel,3.88,3.88,4.97,5.21,4.96,4.96,4.96,4.71,4.71,0.61,0.612849688,4.806447305,4.806447305,4.806447305
LFE23,Longfinned eel,3.88,3.88,4.42,4.46,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.860501016,4.860501016,4.860501016
LIN1,Ling,2.24,2.24,2.70,3.08,3.06,3.09,3.09,3.26,3.29,2.65,2.774749607,3.039248026,3.143349184,3.522672155
LIN10,Ling,3.07,3.07,2.63,2.56,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54
LIN2,Ling,3.07,3.07,2.77,2.56,2.54,3.10,3.43,2.53,3.58,2.84,3.668242866,2.989567035,3.144516769,3.49049749
LIN3,Ling,3.07,3.07,2.41,2.50,2.48,2.58,2.65,2.66,2.83,2.84,2.77326685,2.729568016,2.857402613,3.078661158
LIN4,Ling,3.07,3.07,2.51,2.56,2.54,2.59,2.59,2.53,2.71,2.67,2.789133953,2.480384223,2.722551765,2.838593578
LIN5,Ling,3.07,3.07,2.26,2.35,2.33,2.58,2.84,2.51,2.61,2.51,2.585810642,2.365490217,2.849936266,2.580162823
LIN6,Ling,3.07,3.07,3.33,2.81,2.79,2.72,2.89,2.42,2.42,2.69,2.615145638,2.481224899,2.663643492,2.612773877
LIN7,Ling,3.07,3.07,2.48,2.46,2.44,1.98,2.70,2.54,2.74,2.66,2.700721316,2.426854367,2.988173279,2.650565628
MAK1,Mako Shark,0.45,0.45,0.49,0.34,0.34,0.30,0.36,0.36,0.38,0.29,0.291998015,0.291998015,0.291998015,0.291998015
MDI1,Surf Clam   trough shell,1.70,1.70,2.05,2.06,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
MDI2,Surf Clam   trough shell,1.70,1.70,2.05,2.06,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
MDI3,Surf Clam   trough shell,1.70,1.70,2.05,2.06,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
MDI4,Surf Clam   trough shell,1.70,1.70,2.05,2.06,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
MDI5,Surf Clam   trough shell,1.70,1.70,2.05,2.06,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
MDI7,Surf Clam   trough shell,1.70,1.70,2.05,2.06,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
MDI8,Surf Clam   trough shell,1.70,1.70,2.05,2.06,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
MDI9,Surf Clam   trough shell,1.70,1.70,2.05,2.06,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
MMI1,Surf Clam   large trough shell,0.70,0.70,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
MMI2,Surf Clam   large trough shell,0.70,0.70,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
MMI3,Surf Clam   large trough shell,0.70,0.70,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,2.753796505,3
MMI4,Surf Clam   large trough shell,0.70,0.70,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
MMI5,Surf Clam   large trough shell,0.70,0.70,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
MMI7,Surf Clam   large trough shell,0.70,0.70,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,3
MMI8,Surf Clam   large trough shell,0.70,0.70,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,2.5
MMI9,Surf Clam   large trough shell,0.70,0.70,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
MOK1,Blue Moki,0.91,0.91,2.01,1.91,1.89,1.63,1.99,1.68,2.03,1.57,1.917826133,2.10501564,2.371291682,2.42324117
MOK10,Blue Moki,0.91,0.91,1.66,1.53,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
MOK3,Blue Moki,0.91,0.91,0.97,1.04,1.03,1.16,0.98,1.26,1.15,1.05,1.246102596,1.429380667,1.379873645,1.275827128
MOK4,Blue Moki,0.91,0.91,1.66,1.53,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
MOK5,Blue Moki,0.91,0.91,1.51,2.09,2.07,0.76,0.76,1.53,4.07,1.44,1.578023013,1.851446744,2.005994929,2.039341467
MOO1,Moonfish,1.83,1.83,3.26,1.91,1.89,1.89,1.89,1.89,1.86,2.03,2.034954803,2.034954803,2.034954803,2.034954803
OCT,Octopus,1.53,1.53,2.14,2.49,,,,,,,3.03,,,
OCT1,Octopus,,,,,2.48,2.48,2.48,2.48,3.03,2.48,3.03,3.03,3.03,4.867637128
OCT2,Octopus,,,,,2.48,2.48,2.48,2.48,3.03,2.48,3.03,3.03,3.03,4.867637128
OCT3,Octopus,,,,,2.48,2.48,2.48,2.48,3.03,2.48,3.03,3.03,3.03,4.867637128
OCT4,Octopus,,,,,2.48,2.48,2.50,2.50,3.03,2.48,3.03,3.03,3.03,4.867637128
OCT5,Octopus,,,,,2.48,2.48,2.57,2.57,3.03,2.48,3.03,3.03,3.03,4.867637128
OCT6,Octopus,,,,,2.48,2.48,2.48,2.48,3.03,2.48,3.03,3.03,3.03,4.867637128
OCT7,Octopus,,,,,2.48,2.48,1.87,1.87,3.03,2.48,3.03,3.03,3.03,4.867637128
OCT8,Octopus,,,,,2.48,2.48,2.48,2.48,3.03,2.48,3.03,3.03,3.03,4.867637128
OCT9,Octopus,,,,,2.48,2.48,2.48,2.48,3.03,2.48,3.03,3.03,3.03,4.867637128
OEO1,Oreo,0.80,0.80,0.82,0.90,0.89,0.89,0.89,0.87,0.68,0.68,0.589610296,0.713326462,0.713326462,2
OEO10,Oreo,0.80,0.80,0.82,0.90,0.89,0.89,0.89,0.87,0.68,0.68,0.589610296,0.713326462,0.713326462,0.713326462
OEO3A,Oreo,0.80,0.80,0.82,0.90,0.89,0.89,0.89,0.87,0.68,0.68,0.589610296,0.713326462,0.713326462,0.713326462
OEO4,Oreo,0.80,0.80,0.82,0.90,0.89,0.89,0.89,0.87,0.68,0.68,0.589610296,0.713326462,0.713326462,0.713326462
OEO6,Oreo,0.80,0.80,0.82,0.90,0.89,0.89,0.89,0.87,0.68,0.68,0.589610296,0.713326462,0.713326462,0.713326462
ORH1,Orange Roughy,2.99,2.99,2.88,3.23,2.48,2.48,2.48,2.76,2.76,1.91,2.688151229,1.76633934,2.502038758,2.549569719
ORH10,Orange Roughy,2.99,2.99,2.37,2.76,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48
ORH2A,Orange Roughy,2.99,2.99,2.42,2.76,2.50,1.63,1.63,2.15,3.27,3.27,3.145496469,2.90616896,2.6317931,2.713562972
ORH2B,Orange Roughy,2.99,2.99,2.37,2.76,2.48,2.48,2.20,2.20,3.24,3.24,3.224175864,2.381461193,2.3134176,2.697125237
